location name latitude longitude time speed rssi_avg rssi_var cellid cqi ssnr throughput_down throughput_up delayCon delay pdr 
Broadway ram 42.33749482 -71.06792862 1433367983000 9.75 3G -90.33333333333333 0.888888888888889 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33735804 -71.06810613 1433367985000 10.5 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33723373 -71.06830774 1433367987000 11.0 3G -95.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33708844 -71.06851109 1433367989000 11.25 3G -95.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33694707 -71.06870556 1433367991000 11.5 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33680425 -71.06894319 1433367993000 11.75 3G -97.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33666231 -71.06912557 1433367995000 11.25 3G -97.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33652189 -71.06931784 1433367997000 10.75 3G -96.33333333333333 0.888888888888889 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33638955 -71.06949417 1433367999000 10.75 3G -92.5 6.75 -1 -1 2147483647 0.10089760140509595 0.0 223.0 925.0 100.0
Broadway ram 42.33618175 -71.06970403 1433368002000 9.5 3G -87.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33600322 -71.06984698 1433368005000 7.75 3G -87.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33607701 -71.07021608 1433368021000 5.25 3G -93.3076923076923 9.751479289940828 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33620676 -71.0703908 1433368024000 6.0 3G -99.0 0.0 -1 -1 2147483647 0.11762405936009877 0.0 5325.0 1060.0 100.0
Broadway ram 42.33636526 -71.07055931 1433368029000 4.25 3G -99.0 0.0 -1 -1 2147483647 0.1214085661636749 0.0 1737.0 489.0 100.0
Broadway ram 42.33655174 -71.07058111 1433368052000 0.0 3G -102.25 6.4375 -1 -1 2147483647 0.11559562388912878 0.0 1758.0 665.0 100.0
Broadway ram 42.33661525 -71.07082552 1433368086000 1.75 3G -101.06896551724138 6.478002378121283 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33674568 -71.07102837 1433368093000 2.75 3G -97.0 6.857142857142857 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33688008 -71.07124506 1433368098000 3.25 3G -99.66666666666667 0.8888888888888888 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33701258 -71.07145992 1433368102000 3.5 3G 0.0 0.0 -1 -1 2147483647 0.11859348842075892 0.0 2159.0 171.0 100.0
Broadway ram 42.33713038 -71.07164847 1433368110000 0.5 3G -97.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33728373 -71.07177655 1433368124000 0.0 3G -97.22222222222223 4.839506172839506 -1 -1 2147483647 0.11724071098630161 0.0 2165.0 402.0 100.0
Broadway ram 42.33716611 -71.07201162 1433368142000 6.0 3G -96.2 6.56 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33700681 -71.07222925 1433368145000 7.0 3G -93.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33684114 -71.07242899 1433368148000 7.5 3G -93.66666666666667 0.8888888888888887 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33669122 -71.07265915 1433368152000 6.25 3G -95.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33655373 -71.07286783 1433368159000 2.75 3G -93.66666666666667 0.8888888888888887 -1 -1 2147483647 0.12280390812800482 0.0 2534.0 954.0 100.0
Broadway ram 42.33646091 -71.07308355 1433368168000 2.25 3G -98.42857142857143 3.10204081632653 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33638365 -71.07332714 1433368176000 3.5 3G -102.66666666666667 11.222222222222221 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.336248 -71.07356171 1433368180000 4.0 3G -108.0 1.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.3360262 -71.07367269 1433368181000 5.0 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33592898 -71.07393653 1433368184000 5.25 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33592016 -71.07422398 1433368191000 4.0 3G -106.66666666666667 0.5555555555555555 -1 -1 2147483647 0.09345347632740789 0.0 1776.0 1051.0 100.0
Broadway ram 42.33581859 -71.07447843 1433368205000 4.5 3G -104.14285714285714 0.979591836734694 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33572574 -71.07470669 1433368209000 4.5 3G -103.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.3356285 -71.07492678 1433368213000 4.5 3G -103.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33549287 -71.07515378 1433368215000 5.75 3G -99.0 2.6666666666666665 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33534935 -71.07533848 1433368217000 6.25 3G -96.0 1.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33522582 -71.07562717 1433368221000 6.75 3G -87.66666666666667 0.8888888888888888 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33509397 -71.07588384 1433368224000 6.75 3G -85.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33487562 -71.07595772 1433368226000 5.75 3G -85.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33470868 -71.075811 1433368229000 2.75 3G 0.0 0.0 -1 -1 2147483647 0.09352636663739547 0.0 2307.0 614.0 100.0
Broadway ram 42.3345051 -71.07593022 1433368235000 5.0 3G -83.0 8.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33433147 -71.07612989 1433368239000 6.5 3G -81.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33421313 -71.07631884 1433368242000 7.25 3G -86.0 1.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33408373 -71.07655659 1433368245000 7.75 3G -87.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33396914 -71.07678908 1433368248000 7.5 3G -85.5 0.7500000000000001 -1 -1 2147483647 0.11708807037310473 0.0 3631.0 874.0 100.0
Broadway ram 42.33373392 -71.076903 1433368272000 4.75 3G -79.11764705882354 12.456747404844286 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33353022 -71.0771753 1433368274000 8.25 3G -79.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33337496 -71.07744982 1433368277000 8.25 3G -77.0 8.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33323213 -71.07767497 1433368280000 8.25 3G -67.0 2.6666666666666665 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.3331121 -71.07792696 1433368283000 8.25 3G -65.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33300659 -71.07813429 1433368285000 8.75 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33286947 -71.07841878 1433368288000 8.75 3G -67.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33271911 -71.07863353 1433368291000 7.5 3G 0.0 0.0 -1 -1 2147483647 0.11694849855103015 0.0 2526.0 165.0 100.0
Broadway ram 42.33256506 -71.07882912 1433368294000 7.0 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33242477 -71.07900764 1433368298000 1.5 3G -71.0 0.0 -1 -1 2147483647 0.11764970507237613 0.0 233.0 397.0 100.0
Broadway ram 42.33223884 -71.07902598 1433368336000 1.25 3G -76.0909090909091 1.7190082644628097 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.3321292 -71.07923482 1433368342000 3.5 3G -79.8 0.9600000000000002 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33218091 -71.07955892 1433368347000 5.25 3G -79.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33227508 -71.07981463 1433368351000 5.75 3G -81.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33242508 -71.08007414 1433368353000 9.25 3G 0.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33254467 -71.08033572 1433368356000 8.25 3G -81.0 0.0 -1 -1 2147483647 0.11971167439033902 0.0 2166.0 507.0 100.0
Broadway ram 42.33264191 -71.08064139 1433368360000 6.0 3G -83.0 0.0 -1 -1 2147483647 0.11385175067295139 0.0 1898.0 914.0 100.0
Broadway ram 42.33273672 -71.08089777 1433368390000 3.25 3G -80.0 2.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33265997 -71.08115021 1433368395000 4.5 3G -80.6 0.64 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33245793 -71.08128365 1433368398000 7.25 3G -82.33333333333333 0.888888888888889 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33230327 -71.08141021 1433368401000 6.25 3G -83.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.3321215 -71.08154017 1433368405000 5.25 3G -83.0 0.0 -1 -1 2147483647 0.11504111977709267 0.0 3158.0 625.0 100.0
Broadway ram 42.33195423 -71.08164333 1433368432000 4.25 3G -81.0 2.4 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33180219 -71.08182249 1433368436000 5.0 3G -88.6 3.839999999999999 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33161845 -71.08197353 1433368440000 5.75 3G -88.5 0.75 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33144519 -71.08218359 1433368443000 7.25 3G -87.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33129378 -71.08236358 1433368446000 7.0 3G -88.0 1.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33114833 -71.08259232 1433368450000 4.75 3G -87.0 0.0 -1 -1 2147483647 0.11558324350743346 0.0 2556.0 878.0 100.0
Broadway ram 42.33095362 -71.0827807 1433368455000 5.75 3G -84.33333333333333 0.888888888888889 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.330798 -71.08299216 1433368459000 6.25 3G -83.8 2.560000000000001 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33064996 -71.08324269 1433368463000 6.75 3G -90.0 1.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33052965 -71.08344187 1433368466000 7.25 3G -85.0 6.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33045001 -71.08368788 1433368471000 4.0 3G -83.0 0.0 -1 -1 2147483647 0.11871089480023168 0.0 1731.0 746.0 90.0
Broadway ram 42.33029222 -71.08391122 1433368492000 5.0 3G -87.28571428571429 17.632653061224488 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33010051 -71.08408562 1433368495000 6.0 3G -97.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.32990173 -71.08420474 1433368500000 4.0 3G -94.71428571428571 5.061224489795918 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.32984716 -71.08395185 1433368512000 2.75 3G -89.4 0.64 -1 -1 2147483647 0.0 0.0 2891.0 601.0 100.0
Broadway ram 42.32996916 -71.08373757 1433368597000 1.75 3G -84.95555555555555 4.886913580246918 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.32995623 -71.08348011 1433368604000 1.25 3G -83.0 0.0 -1 -1 2147483647 NA NA NA NA NA
Broadway ram 42.33008066 -71.08328563 1433368615000 2.5 3G -83.8 0.96 -1 -1 2147483647 NA NA NA NA NA
