location name latitude longitude time speed rssi_avg rssi_var cellid cqi ssnr 
samsung ram 42.33948874 -71.09037907 1434571608000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948849 -71.09037915 1434571609000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394884 -71.09037912 1434571610000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33948823 -71.09037917 1434571611000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948808 -71.09037921 1434571612000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33948793 -71.09037923 1434571613000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948777 -71.09037923 1434571614000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33948758 -71.09037925 1434571615000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948739 -71.09037936 1434571616000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948725 -71.09037938 1434571617000 0.0 3G -79.0 0.0 -1 -1 2147483647
samsung ram 42.33948681 -71.09037943 1434571618000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948649 -71.09037946 1434571619000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948621 -71.0903795 1434571620000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33948606 -71.09037952 1434571621000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33948589 -71.09037947 1434571622000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948587 -71.09037947 1434571623000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948587 -71.09037945 1434571624000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948585 -71.09037945 1434571625000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394857 -71.09037949 1434571626000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948565 -71.0903795 1434571627000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394854 -71.09037959 1434571628000 0.0 3G -81.0 0.0 -1 -1 2147483647
samsung ram 42.33948532 -71.0903796 1434571629000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948517 -71.09037962 1434571630000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948512 -71.09037965 1434571631000 0.0 3G -83.0 0.0 -1 -1 2147483647
samsung ram 42.33948504 -71.0903797 1434571632000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948497 -71.09037975 1434571633000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394849 -71.09037979 1434571634000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.3394849 -71.09037974 1434571635000 0.0 3G 0.0 0.0 -1 -1 2147483647
samsung ram 42.33948477 -71.09037975 1434571636000 0.0 3G 0.0 0.0 -1 -1 2147483647
